Source,Target,Weight,Type
1,4,1.761545691,Undirected
1,17,1.972854784,Undirected
1,21,2.408172856,Undirected
1,23,1.91569637,Undirected
1,42,0.508782722,Undirected
1,61,3.70745584,Undirected
1,71,1.510231262,Undirected
1,81,1.22254919,Undirected
1,90,0.616413386,Undirected
1,97,3.014308659,Undirected
1,98,2.608843551,Undirected
1,102,1.761545691,Undirected
1,103,2.608843551,Undirected
1,110,0.645765598,Undirected
1,116,3.70745584,Undirected
1,117,0.934867117,Undirected
1,126,1.473863618,Undirected
1,139,0.411618974,Undirected
1,163,3.119669175,Undirected
1,164,3.525134283,Undirected
1,165,3.014308659,Undirected
1,166,2.321161479,Undirected
1,173,0.999405639,Undirected
1,189,2.321161479,Undirected
1,202,0.531469951,Undirected
1,204,1.329496763,Undirected
1,207,0.874242496,Undirected
1,214,1.761545691,Undirected
1,217,9.65E-02,Undirected
1,223,3.02E-02,Undirected
1,228,3.70745584,Undirected
1,232,3.70745584,Undirected
1,234,2.608843551,Undirected
1,237,1.534291175,Undirected
1,250,2.3857,Undirected
1,264,1.22254919,Undirected
1,266,3.301990732,Undirected
1,293,0.752545561,Undirected
1,339,3.70745584,Undirected
1,351,0.211211708,Undirected
1,352,2.321161479,Undirected
1,360,0.589829567,Undirected
1,361,6.12E-03,Undirected
1,371,2.726626587,Undirected
1,375,0.468777388,Undirected
1,395,1.368056774,Undirected
1,402,0.177538493,Undirected
1,407,3.70745584,Undirected
1,445,1.002074362,Undirected
1,457,1.510231262,Undirected
1,466,1.309560567,Undirected
1,471,3.014308659,Undirected
2,260,5.499215309,Undirected
2,287,1.396571944,Undirected
2,351,1.175082653,Undirected
2,405,1.901903048,Undirected
2,410,2.666001965,Undirected
3,204,1.155409887,Undirected
3,208,3.484312288,Undirected
3,282,4.582924577,Undirected
3,360,1.201929903,Undirected
3,445,0.384219999,Undirected
3,455,3.70745584,Undirected
4,21,1.44309196,Undirected
4,23,0.662933402,Undirected
4,42,0.865457666,Undirected
4,98,3.147840052,Undirected
4,105,4.24645234,Undirected
4,110,0.396304739,Undirected
4,126,0.22110065,Undirected
4,163,2.742374944,Undirected
4,166,2.860157979,Undirected
4,189,2.860157979,Undirected
4,198,3.147840052,Undirected
4,204,0.790500262,Undirected
4,211,2.454692871,Undirected
4,215,1.23E-02,Undirected
4,217,0.635534428,Undirected
4,223,1.607395011,Undirected
4,237,0.103317614,Undirected
4,278,0.720091816,Undirected
4,281,1.302013361,Undirected
4,287,0.549338205,Undirected
4,293,0.317895851,Undirected
4,321,1.848557068,Undirected
4,351,0.615466865,Undirected
4,360,0.743980246,Undirected
4,361,1.631492562,Undirected
4,375,0.378520473,Undirected
4,391,2.374650164,Undirected
4,395,1.619371202,Undirected
4,402,0.872283631,Undirected
4,445,0.463077861,Undirected
5,18,5.499215309,Undirected
5,42,1.201929903,Undirected
5,88,4.806068128,Undirected
5,102,4.24645234,Undirected
5,147,4.40060302,Undirected
5,351,1.175082653,Undirected
5,395,1.773521882,Undirected
5,445,0.384219999,Undirected
5,452,3.794467217,Undirected
5,466,3.794467217,Undirected
6,39,3.70745584,Undirected
6,110,0.732776975,Undirected
6,126,2.167010799,Undirected
6,204,1.155409887,Undirected
6,215,1.958255985,Undirected
6,237,0.950615474,Undirected
6,287,1.396571944,Undirected
6,300,3.419773767,Undirected
6,375,1.567389676,Undirected
6,405,1.901903048,Undirected
6,411,3.889777396,Undirected
6,445,0.384219999,Undirected
7,42,1.201929903,Undirected
7,109,4.582924577,Undirected
7,110,0.732776975,Undirected
7,126,2.167010799,Undirected
7,193,3.24792351,Undirected
7,202,0.85482441,Undirected
7,203,5.093750201,Undirected
7,204,1.155409887,Undirected
7,237,0.950615474,Undirected
7,287,1.396571944,Undirected
7,293,0.934867117,Undirected
7,320,3.794467217,Undirected
7,351,1.175082653,Undirected
7,413,3.889777396,Undirected
7,416,4.40060302,Undirected
8,10,6.192362489,Undirected
8,47,1.649067707,Undirected
8,110,0.732776975,Undirected
8,223,2.454692871,Undirected
8,237,0.950615474,Undirected
8,287,1.396571944,Undirected
8,402,1.208755868,Undirected
8,428,5.499215309,Undirected
8,445,0.384219999,Undirected
9,37,1.587192303,Undirected
9,39,1.404870747,Undirected
9,41,0.306258458,Undirected
9,42,0.285639171,Undirected
9,47,0.599245583,Undirected
9,85,2.098017927,Undirected
9,103,1.404870747,Undirected
9,110,0.183513757,Undirected
9,117,0.424041494,Undirected
9,123,2.503483035,Undirected
9,126,0.135574294,Undirected
9,128,2.098017927,Undirected
9,130,3.196630216,Undirected
9,133,2.098017927,Undirected
9,144,0.105587763,Undirected
9,159,2.503483035,Undirected
9,177,1.692552819,Undirected
9,185,2.22E-02,Undirected
9,202,0.256987409,Undirected
9,204,0.356902191,Undirected
9,206,3.196630216,Undirected
9,217,1.377471773,Undirected
9,233,1.250720067,Undirected
9,237,0.658822438,Undirected
9,249,1.250720067,Undirected
9,259,0.557572886,Undirected
9,261,2.503483035,Undirected
9,264,0.711723566,Undirected
9,267,2.098017927,Undirected
9,269,2.503483035,Undirected
9,278,7.57E-02,Undirected
9,279,0.711723566,Undirected
9,287,0.906013149,Undirected
9,290,1.056564052,Undirected
9,293,0.337030117,Undirected
9,299,3.196630216,Undirected
9,300,0.424041494,Undirected
9,302,1.250720067,Undirected
9,313,0.488580015,Undirected
9,328,0.455790192,Undirected
9,351,0.481935472,Undirected
9,352,0.711723566,Undirected
9,353,2.098017927,Undirected
9,358,0.894045123,Undirected
9,360,0.285639171,Undirected
9,361,1.092496062,Undirected
9,375,1.428342597,Undirected
9,377,1.250720067,Undirected
9,383,0.798734943,Undirected
9,395,1.222210392,Undirected
9,402,4.78E-03,Undirected
9,406,9.92E-02,Undirected
9,418,1.692552819,Undirected
9,445,0.665602125,Undirected
9,452,2.590494412,Undirected
9,454,3.196630216,Undirected
9,466,0.798734943,Undirected
9,470,0.894045123,Undirected
10,47,1.649067707,Undirected
10,110,0.732776975,Undirected
10,223,2.454692871,Undirected
10,237,0.950615474,Undirected
10,287,1.396571944,Undirected
10,402,1.208755868,Undirected
10,428,5.499215309,Undirected
10,445,0.384219999,Undirected
11,48,3.889777396,Undirected
11,80,6.192362489,Undirected
11,110,0.732776975,Undirected
11,141,4.112920948,Undirected
11,237,0.950615474,Undirected
11,278,1.972854784,Undirected
11,445,0.384219999,Undirected
11,449,4.112920948,Undirected
12,21,1.597242639,Undirected
12,36,3.995137912,Undirected
12,96,4.40060302,Undirected
12,110,0.732776975,Undirected
12,139,1.797913335,Undirected
12,202,0.449359302,Undirected
12,205,4.40060302,Undirected
12,217,1.482832288,Undirected
12,254,3.995137912,Undirected
12,287,0.297959655,Undirected
12,334,5.093750201,Undirected
12,360,0.103317614,Undirected
12,445,0.714392289,Undirected
12,465,4.688285093,Undirected
