Nodes,ID,Label
丁香,1,丁香
丁香魚,2,丁香魚
七味粉,3,七味粉
三層肉,4,三層肉
三色豆,5,三色豆
中筋麵粉,6,中筋麵粉
中芹,7,中芹
中薑,8,中薑
九層塔,9,九層塔
九棍魚淨肉,10,九棍魚淨肉
乳酪,11,乳酪
二砂糖,12,二砂糖
二節翅,13,二節翅
五穀米,14,五穀米
五花肉,15,五花肉
五香滷汁,16,五香滷汁
五香粉,17,五香粉
低筋麵粉,18,低筋麵粉
何首烏,19,何首烏
佛手瓜,20,佛手瓜
八角,21,八角
冬粉,22,冬粉
冰糖,23,冰糖
南瓜,24,南瓜
叉燒,25,叉燒
可樂,26,可樂
吻仔魚,27,吻仔魚
味噌,28,味噌
味精,29,味精
味霖,30,味霖
咖哩,31,咖哩
咖啡,32,咖啡
咖啡酒,33,咖啡酒
四季豆,34,四季豆
四神料,35,四神料
圓糯米,36,圓糯米
土雞,37,土雞
土雞蛋,38,土雞蛋
地瓜,39,地瓜
培根,40,培根
大白菜,41,大白菜
大蒜,42,大蒜
大蕃茄,43,大蕃茄
大陸妹,44,大陸妹
大頭菜,45,大頭菜
大黃瓜,46,大黃瓜
太白粉,47,太白粉
奶油,48,奶油
嫩豆腐,49,嫩豆腐
子排,50,子排
孛薺,51,孛薺
客家福菜,52,客家福菜
客家菜脯,53,客家菜脯
寧波年糕片,54,寧波年糕片
寬粉條,55,寬粉條
小卷,56,小卷
小棒腿,57,小棒腿
小白菜,58,小白菜
小腸,59,小腸
小花蟹,60,小花蟹
小茴香,61,小茴香
小蕃茄,62,小蕃茄
小貢丸,63,小貢丸
小魚乾,64,小魚乾
小黃瓜,65,小黃瓜
尖糯米,66,尖糯米
山苦瓜,67,山苦瓜
山藥,68,山藥
山蘇,69,山蘇
川七,70,川七
川芎,71,川芎
巨峰葡萄,72,巨峰葡萄
巴西利,73,巴西利
干瓢,74,干瓢
干絲,75,干絲
干貝,76,干貝
廣式油麵,77,廣式油麵
後腿肉,78,後腿肉
扁魚,79,扁魚
捲心白菜,80,捲心白菜
排骨,81,排骨
明蝦,82,明蝦
月桂葉,83,月桂葉
木耳,84,木耳
杏鮑菇,85,杏鮑菇
杜仲,86,杜仲
松子,87,松子
板豆腐,88,板豆腐
果凍粉,89,果凍粉
枸杞,90,枸杞
柳松菇,91,柳松菇
柴魚,92,柴魚
柴魚素,93,柴魚素
栗子,94,栗子
核桃,95,核桃
桂圓,96,桂圓
桂皮,97,桂皮
桂竹筍,98,桂竹筍
桂花,99,桂花
梅子,100,梅子
梅干菜,101,梅干菜
梅花肉,102,梅花肉
棒棒腿,103,棒棒腿
椰奶,104,椰奶
樹薯,105,樹薯
橄欖油,106,橄欖油
檸檬,107,檸檬
櫻花蝦,108,櫻花蝦
毛豆,109,毛豆
水,110,水
水梨,111,水梨
水餃,112,水餃
沙拉油,113,沙拉油
沙拉筍,114,沙拉筍
沙拉醬,115,沙拉醬
沙薑,116,沙薑
油,117,油
油蔥酥,118,油蔥酥
油豆腐,119,油豆腐
油麵,120,油麵
沾醬,121,沾醬
泡打粉,122,泡打粉
泡菜,123,泡菜
洋菇,124,洋菇
洋菜,125,洋菜
洋蔥,126,洋蔥
海參,127,海參
海山醬,128,海山醬
海帶,129,海帶
海瓜子,130,海瓜子
海苔,131,海苔
海鮮濃湯用高湯,132,海鮮濃湯用高湯
海鮮高湯,133,海鮮高湯
涼麵,134,涼麵
淮山,135,淮山
清湯,136,清湯
清高湯,137,清高湯
湖南臘肉,138,湖南臘肉
滷汁,139,滷汁
澄粉,140,澄粉
火腿,141,火腿
炸排骨酥,142,炸排骨酥
烏殼筍,143,烏殼筍
烏醋,144,烏醋
烏骨雞肉,145,烏骨雞肉
熟毛肚,146,熟毛肚
牛,147,牛
牛小排,148,牛小排
牛排醬,149,牛排醬
牛筋,150,牛筋
牛肉,151,牛肉
牛肋,152,牛肋
牛肚,153,牛肚
牛腩,154,牛腩
牛腱,155,牛腱
牛蒡,156,牛蒡
玉米,157,玉米
玉米筍,158,玉米筍
玉米粉,159,玉米粉
玉米醬,160,玉米醬
珊瑚草,161,珊瑚草
珍珠菇,162,珍珠菇
甘甜醬油,163,甘甜醬油
甘草,164,甘草
甘蔗,165,甘蔗
甘醇醬油,166,甘醇醬油
甜不辣,167,甜不辣
甜豆,168,甜豆
甜辣醬,169,甜辣醬
甜麵醬,170,甜麵醬
番茄,171,番茄
番茄醬,172,番茄醬
當歸,173,當歸
瘦肉,174,瘦肉
白干絲,175,白干絲
白果,176,白果
