material a,material b,"p(a,b)",p(a),p(b),PMI
¤Ó¥Õ¯»,²òÂÉ,0.010224949,0.192229039,0.012269939,1.46674615
¤Ó¥Õ¯»,¤z¨©,0.00408998,0.192229039,0.008179959,0.955920527
¤Ó¥Õ¯»,Âû°ª´ö,0.00408998,0.192229039,0.010224949,0.732776975
¤Ó¥Õ¯»,­»Û£,0.034764826,0.192229039,0.149284254,0.19182161
¤Ó¥Õ¯»,¤ô»å,0.00204499,0.192229039,0.00204499,1.649067707
¤Ó¥Õ¯»,«C½µ,0.018404908,0.192229039,0.169734151,0.572548323
¤Ó¥Õ¯»,®ã³½,0.006134969,0.192229039,0.008179959,1.361385635
¤Ó¥Õ¯»,¤j»[,0.061349693,0.192229039,0.300613497,0.059832502
¤Ó¥Õ¯»,Âæªo,0.112474438,0.192229039,0.300613497,0.665968306
¤Ó¥Õ¯»,¯ó½¼,0.00408998,0.192229039,0.012269939,0.550455419
¤Ó¥Õ¯»,­»ªo,0.096114519,0.192229039,0.298568507,0.515608687
¤Ó¥Õ¯»,ÆQ,0.18200409,0.192229039,0.680981595,0.329561587
¤Ó¥Õ¯»,­J´Ô,0.110429448,0.192229039,0.386503067,0.396304739
²òÂÉ,¤Ó¥Õ¯»,0.010224949,0.012269939,0.192229039,1.46674615
²òÂÉ,¤z¨©,0.00204499,0.012269939,0.008179959,3.014308659
²òÂÉ,Âû°ª´ö,0.00204499,0.012269939,0.010224949,2.791165108
²òÂÉ,­»Û£,0.010224949,0.012269939,0.149284254,1.719581492
²òÂÉ,¤ô»å,0.00204499,0.012269939,0.00204499,4.40060302
²òÂÉ,«C½µ,0.00408998,0.012269939,0.169734151,0.674909593
²òÂÉ,®ã³½,0.00204499,0.012269939,0.008179959,3.014308659
²òÂÉ,¤j»[,0.00204499,0.012269939,0.300613497,0.589829567
²òÂÉ,Âæªo,0.010224949,0.012269939,0.300613497,1.019608346
²òÂÉ,¯ó½¼,0.00204499,0.012269939,0.012269939,2.608843551
²òÂÉ,­»ªo,0.006134969,0.012269939,0.298568507,0.515608687
²òÂÉ,ÆQ,0.014314928,0.012269939,0.680981595,0.538370679
²òÂÉ,­J´Ô,0.010224949,0.012269939,0.386503067,0.768293918
¤z¨©,¤Ó¥Õ¯»,0.00408998,0.008179959,0.192229039,0.955920527
¤z¨©,²òÂÉ,0.00204499,0.008179959,0.012269939,3.014308659
¤z¨©,Âû°ª´ö,0.00204499,0.008179959,0.010224949,3.196630216
¤z¨©,­»Û£,0.00204499,0.008179959,0.149284254,0.515608687
¤z¨©,¤ô»å,0.00204499,0.008179959,0.00204499,4.806068128
¤z¨©,«C½µ,0.00408998,0.008179959,0.169734151,1.080374701
¤z¨©,®ã³½,0.00204499,0.008179959,0.008179959,3.419773767
¤z¨©,¤j»[,0.00408998,0.008179959,0.300613497,0.508782722
¤z¨©,Âæªo,0.00204499,0.008179959,0.300613497,0.184364458
¤z¨©,¯ó½¼,0.00204499,0.008179959,0.012269939,3.014308659
¤z¨©,­»ªo,0.006134969,0.008179959,0.298568507,0.921073795
¤z¨©,ÆQ,0.006134969,0.008179959,0.680981595,0.096537927
¤z¨©,­J´Ô,0.00408998,0.008179959,0.386503067,0.257468294
Âû°ª´ö,¤Ó¥Õ¯»,0.00408998,0.010224949,0.192229039,0.732776975
Âû°ª´ö,²òÂÉ,0.00204499,0.010224949,0.012269939,2.791165108
Âû°ª´ö,¤z¨©,0.00204499,0.010224949,0.008179959,3.196630216
Âû°ª´ö,­»Û£,0.006134969,0.010224949,0.149284254,1.391077425
Âû°ª´ö,¤ô»å,0.00204499,0.010224949,0.00204499,4.582924577
Âû°ª´ö,«C½µ,0.00204499,0.010224949,0.169734151,0.164083969
Âû°ª´ö,®ã³½,0.00204499,0.010224949,0.008179959,3.196630216
Âû°ª´ö,¤j»[,0.006134969,0.010224949,0.300613497,0.691104279
Âû°ª´ö,Âæªo,0.00408998,0.010224949,0.300613497,0.285639171
Âû°ª´ö,¯ó½¼,0.00204499,0.010224949,0.012269939,2.791165108
Âû°ª´ö,­»ªo,0.006134969,0.010224949,0.298568507,0.697930244
Âû°ª´ö,ÆQ,0.008179959,0.010224949,0.680981595,0.161076448
Âû°ª´ö,­J´Ô,0.006134969,0.010224949,0.386503067,0.439789851
­»Û£,¤Ó¥Õ¯»,0.034764826,0.149284254,0.192229039,0.19182161
­»Û£,²òÂÉ,0.010224949,0.149284254,0.012269939,1.719581492
­»Û£,¤z¨©,0.00204499,0.149284254,0.008179959,0.515608687
­»Û£,Âû°ª´ö,0.006134969,0.149284254,0.010224949,1.391077425
­»Û£,¤ô»å,0.00204499,0.149284254,0.00204499,1.901903048
­»Û£,«C½µ,0.012269939,0.149284254,0.169734151,0.72517809
­»Û£,®ã³½,0.00408998,0.149284254,0.008179959,1.208755868
­»Û£,¤j»[,0.026584867,0.149284254,0.300613497,0.523580181
­»Û£,Âæªo,0.055214724,0.149284254,0.300613497,0.207307328
­»Û£,¯ó½¼,0.00408998,0.149284254,0.012269939,0.80329076
­»Û£,­»ªo,0.053169734,0.149284254,0.298568507,0.176392965
­»Û£,ÆQ,0.124744376,0.149284254,0.680981595,0.204634423
­»Û£,­J´Ô,0.108384458,0.149284254,0.386503067,0.630447947
